岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
java实习生,成都明兴信息技术有限公司,1001,2000,成都,武侯,桂溪,大专,经验不限,20-99人,民营,全职,2025-07-01 16:34:14,1.完成软件系统代码的实现，编写代码注释和开发文档；2.辅助进行系统的功能定义,Boss直聘,,,,,,,1、年龄21-26岁，大专及以上学历（有无经验均可）；2.了解常用的开发框架，会vue前端优先；3.了解redis/mong...,,
中高级java工程师,成都图巧科技有限公司,15001,25000,成都,武侯,桂溪,本科,5-10年,1000-9999人,民营,全职,2025-07-01 15:38:28,岗位职责： 1、负责鱼泡直聘核心业务相关应用的开发工作； 2、深入理解业务需求，分析并发现系统瓶颈，推动系统性能以及稳定性提升； 3、对技术有热情，对技术能力有中长期的规划，持续学习，有总结沉淀能力。 任职要求： 1、本科及以上学历，计算机、软件工程相关专业，5年以上互联网研发工作经验； 2、熟悉Java语言，具备扎实的Java基础，熟悉IO、多线程等基础技术，对多线程使用、并发处理、JVM基本原...,Boss直聘,,,,,,,,,
通用软件开发--（接受无经验+考研断档）,外企德科数字技术有限公司,15001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:28,1.有扎实的Java基础，JVM、Java多线程;2.熟悉springMVC开发模式；3.熟悉工作流及集成接口对接实现方式；4.使用过或想要学习 springboot开发，spring cloud微服务治理框架；5.熟悉SQL脚本编写，有良好的SQL编码习惯，有SQL调优经验优先；6、熟悉主流Java开源应用框架，如Spring等；7、熟悉关系型数据库MySQL、Oracle等；8、熟悉Docke...,Boss直聘,,,,,,,,,
SAP-ABAP开发,软通动力信息技术(集团)股份有限公司,14001,16000,成都,武侯,石羊,本科,5-10年,10000人以上,民营,全职,2025-07-01 14:27:12,工作职责:负责软件系统后台整体架构规划并落地实施;参与产品需求分析和技术方案设计，负责核心功能模块的详细设计和代码实现:2、3、负责开发团队任务分配，参与团队的代码审查和质量控制，建立和完善代码规范和开发流程;持续关注系统的运行状态，保障系统稳定运行。4、任职要求:1.5年以上SAP ABAP开发工作经验:2.报表开发技术，精通:ALV、OOALV、Dialog、List，熟练:Query、Rep...,Boss直聘,,,,,,,,,
Java（物联网项目）,成都迈思信息技术有限公司,9001,10000,成都,武侯,肖家河,大专,3-5年,1000-9999人,民营,全职,2025-07-01 11:01:17,工作内容 1．物联网协议开发与维护(1)熟悉MQTT、CoAP、HTTP/HTTPS等物联网通信协议，能够进行协议适配和优化。(2)负责设备接入、数据采集及云端通信的协议对接与调试。2．Linux系统运维与管理(1)熟练使用Linux（如Ubuntu/CentOS）进行系统部署、配置、监控及故障排查。(2)掌握Shell/Python脚本编写，实现自动化运维任务。3．网络安全方面(1)网络安全实战...,Boss直聘,,,,,,,,,
Java/C/C++/python/GO/web/测试,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:26,招聘要求：1、熟悉C/C++、Java、Scala、Python、JS等开发语言一种或多种；2、经验不限，具有较好的代码能力和的学习能力、自驱力； 3、具有一定的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性； 4、参与系统以提升效率为目的的整体的优化、改进，出现问题时能够通过较强的技术手段较好的解决问题。,Boss直聘,,,,,,,,,
后端开发工程师,民航成都电子技术有限责任公司,12001,15000,成都,新津,普兴,硕士,经验不限,500-999人,国企,全职,2025-07-01 00:03:21,岗位职责:1、承担部分JAVA技术栈产品开发或设计工作，并能够按要求、高质量地与小组完成产品迭代开发与设计任务；2、负责协同技术架构师，进行产品框架迭代优化。3、负责协同产品经理，完成产品技术文档、科研产出论文专利的编写。任职要求：1、硕士研究生2、熟练掌握基于springboot的微服务框架，并能根据业务需求选择合适的网关、认证、注册中心、配置中心、服务降级、服务调用以及业务公共模块提取；3、熟...,Boss直聘,,,,,,,,,
嵌入式软件开发,中国兵器装备集团自动化研究所有限公司,13001,23000,成都,双流,华阳,硕士,3-5年,1000-9999人,国企,全职,2025-07-01 00:02:02,岗位职责：1.进行嵌入式产品软件需求对接及开发设计；2.完成嵌入式设备操作系统适配、驱动开发、接口功能实现及设备性能优化；3.负责嵌入式产品单元测试及相关技术支撑，保障产品稳定交付；4.编辑完成产品软件开发相关流程技术文档。5. 协助硬件工程师完成硬件调试，确保硬件与软件的兼容性。6.提供现场技术支持，解决产品在测试、生产和应用过程中出现的软件问题。7.编写技术文档，包括设计文档、测试文档、用户手...,Boss直聘,,,,,,,,,
c/c++/java/python/测试/大数据/前端等【全国地区】,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:26:28,岗位内容：1. 技术方案的设计和优化，对技术问题进行跟踪解决；2. 负责工程项目的整体进度规划，保证工期、质量、安全达标；3. 及时掌握国内外技术动态并将其应用到实践中；4. 完善设计流程，提高设计效率和质量；任职要求：1. 本科及以上学历2. 精通C/C++、Python等编程语言。 3.运维、前端、测试岗位都可以接受无经验以及转行,Boss直聘,,,,,,,,,
嵌入式应用软件开发工程师/双休,四川同创凯宏人力资源管理有限公司,10001,15000,成都,双流,华阳,本科,3-5年,20-99人,民营,全职,2025-06-30 18:02:34,用人单位：成都（大型）央企 薪资待遇：10k-15k/月，五险一金，食堂及其他福利待遇补贴； 上班时间：9：00-17：00，周末双休，节假日正常放假； 岗位要求： 1.工作三年及以上，熟练掌握c/c++语言，掌握常用数据结构和算法，了解软件工程; 2.有一定的底层开发经验，熟悉linux系统，熟悉多线程编程、网络编程; 3.能够熟练阅读英文技术资料; 3.较强的学习能力和问题分析能力；实事求是的...,Boss直聘,,,,,,,,,
初级软件开发工程师（可接受应届生）,四川天邑通信,6001,10000,成都,大邑,晋原,本科,1年以下,1000-9999人,民营,全职,2025-06-30 15:01:20,岗位职责：1、从事光猫/FTTR/路由器等网络通信产品的全生命周期开发，负责关键技术模块的设计与实现；2、软件详细设计与编码实现，编写高质量技术文档，执行单元测试与集成测试；3、负责系统级代码优化和维护；4、完成部门安排的其它研发相关工作；任职要求：1、统招本科及以上学历，计算机科学与技术/软件工程/通信工程/电子信息工程专业；2、1-3年嵌入式开发工作经验，有PON接入产品（ONU，OLT）或交...,Boss直聘,,,,,,,,,
Java/C/C++/Python/C#/Js/Ios,外企德科数字技术有限公司,15001,27000,成都,郫都,合作街道,本科,1-3年,10000人以上,合资,全职,2025-07-10 00:24:28,Java：岗位职责：1.熟悉业务流程平台架构和配置，具有与其他系统和第三方平台接口开发和设计能力；2.负责或参与各类金融核心交易系统设计和开发工作；3.负责系统分析与设计，并负责完成核心代码；4.根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档。职位要求：1*985/211及以上学历，计算机相关专业；2.JAVA基础扎实，精通IO、多线程、集合等基础框架，精通分布式、缓存、消息、搜索等...,Boss直聘,,,,,,,,,
嵌入式开发软件工程师,软通动力信息技术(集团)股份有限公司,7001,13000,成都,双流,华阳,本科,1-3年,10000人以上,民营,全职,2025-06-30 14:29:12,1、本科及以上学历，具备1年及以上嵌入式软件项目开发经验；2、孰练掌握C/C++语言,Boss直聘,,,,,,,,,
嵌入式开发工程师,成都华茂能联科技有限公司,10001,15000,成都,武侯,桂溪,本科,1-3年,20-99人,民营,全职,2025-06-30 13:52:45,岗位职责：1、C/C++程序设计，包括软件功能方案设计、控制逻辑设计和通信协议设计等；2、工业和电力物联网类产品软件开发；3、在硬件平台上进行软件功能调试、产品功能测试；4、研发和产品相关的文档编写，如技术方案、产品规格书等。任职要求：1、电力、电子、通信、自动化、计算机相关专业，如有技术实力较强的，可适当放宽专业条件；2、扎实的C/C++基础，有良好的编程习惯和代码风格，至少有STM32、GD3...,Boss直聘,,,,,,,,,
软件工程师（底软/后端/嵌入式开发为主，前端开发/算法/测试少量）,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,1-3年,10000人以上,合资,全职,2025-07-09 00:23:15,岗位职责1、负责公司某一项目中（云计算、智能终端、自动驾驶网络、SaaS、人工智能等），相关软件版本的架构设计、软件代码编写、测试等；2、对现有工具性能和体验优化提升；3、对标业界标杆，工程工具，共同实现关键技术的引进、研究与突破；任职要求1、计算机、软件工程、网络、通信、电子等相关专业优秀本科及以上学历，有半年及以上项目开发经验优先；2、熟练掌握Java/C++/C/Python/JS/GO中至...,Boss直聘,,,,,,,,,
嵌入式开发软件工程师,软通动力信息技术(集团)股份有限公司,7001,13000,成都,武侯,桂溪,本科,1-3年,10000人以上,民营,全职,2025-06-30 14:29:03,1、本科及以上学历，具备1年及以上嵌入式软件项目开发经验；2、孰练掌握C/C++语言,Boss直聘,,,,,,,,,
嵌入式软件开发工程师,北京信联数安科技有限公司,10001,18000,成都,武侯,石羊,本科,3-5年,100-299人,民营,全职,2025-06-30 11:09:14,岗位职责：1、参与项目的需求分析、设计、编码，撰写相关技术文档；2、参与项目的测试、系统交付工作，对项目实施提供支持；3、参与方案讨论和技术调研。任职要求：1.大学本科以上学历，计算机或相关专业，3年以上工作经验，有独立负责项目的经验;2.精通Linux平台上的C语言编程，熟悉常用的算法和数据结构，有良好的编码和调试习惯，有在嵌入式平台上的开发移植经验； 3.熟悉常见的工控与电力协议(Modbus...,Boss直聘,,,,,,,,,
java项目负责人（购物商城项目）,成都携华之星智能科技有限公司,8001,10000,成都,武侯,桂溪,本科,3-5年,20-99人,民营,全职,2025-06-30 11:54:00,岗位内容：1. 负责Java应用程序的设计与开发，包括需求调研沟通、分析、整理和确认等，分析业务规则、业务范围、业务流程等，细化及挖掘需求，并能够准确的将需求转化为软件需求。2. 根据需求进行原型设计，协助进行软件设计。3. 参与整体新项目开发流程，负责需求变更，跟踪和研发跟进，负责业务验收。4. 负责编写需求设计说明书和粗版原型图设计，配合做测试和用户手册书写等。3. 改进现有系统、优化系统资源...,Boss直聘,,,,,,,,,
Java工程师,四川博矽智能科技有限公司,8001,11000,成都,武侯,桂溪,大专,3-5年,20-99人,民营,全职,2025-06-30 10:17:43,任职要求： 1.Java底层基础扎实(多线程原理,Boss直聘,,,,,,,,,
初级嵌入式软件开发工程师,成都极趣科技有限公司,6001,10000,成都,温江,天府,本科,经验不限,100-299人,股份制企业,全职,2025-06-30 00:31:40,岗位职责1. 负责mcu的固件开发；2.负责传感器C/Python库编写；3. 对已有产品的测试、分析、升级。 任职要求 1.计算机、通信电子、自动化等电子类相关专业本科及以上学历；2.熟悉C语言； 3.熟悉至少一款MCU的系统架构与常用外设； 4.熟练使用常见通信协议：UART、I2C、SPI、SDIO、USB、Modbus、CAN、MQTT等；5.用于承担，对自己的工作有较强的责任意识；6.服...,Boss直聘,,,,,,,,,
嵌入式软件开发工程师,北京天行探索科技有限公司,15001,30000,成都,青羊,苏坡,本科,5-10年,20-99人,民营,全职,2025-06-29 00:00:01,（一）岗位职责1. 根据产品设计需求开展嵌入式软件需求分解；2. 根据产品软件需求，与公司其他领域同事协同开展产品嵌入式软件的架构设计、代码开发、测试等工作；3. 负责嵌入式软件代码调试、测试和问题解决，确保软件的正确性、稳定性和可靠性；4. 参与产品整体测试，负责解决与软件设计相关的问题；5. 负责编写相关技术文档（二）任职要求1. 计算机、软件工程、通信工程等相关专业本科及以上学历；2. 5年...,Boss直聘,,,,,,,,,
嵌入式C/C++开发工程师,中软国际,0,0,成都,武侯,桂溪,本科,3-5年,10000人以上,上市公司,全职,2025-06-27 18:43:55,1、负责智能计算平台、边缘智能设备等产品及解决方案的软件研发，鸿蒙、window系统迁移适配，生态场景使能;2、能独立承担软件模块设计、开发、测试和维护及行业应用需求的落地;3、解决技术难题，支持和使能计算产业生态伙伴;4、参与技术方案优化，性能及可靠性提升等产品竞争力提升活动;任职需求：1、 本科及以上学历，通信、计算机、电子工程等相关专业，2年以上linux系统及应用软件开发经验；2、熟练掌握...,Boss直聘,,,,,,,,,
嵌入式开发工程师,成都高斯智慧电子科技有限公司,12001,18000,成都,金牛,金泉,本科,3-5年,20-99人,民营,全职,2025-06-27 10:59:21,岗位职责：1、负责基于ZYNQ平台的嵌入式软件设计、开发、调试和维护；2、参与产品需求分析、方案设计、代码编写、单元测试和系统集成；3、编写相关技术文档，包括设计文档、测试文档、用户手册等；4、解决产品开发过程中的技术难题，并进行性能优化；任职要求：1、本科及以上学历，计算机、电子信息、电子工程、自动化等相关专业；2、精通C/C++编程语言，具有良好的代码风格和编程习惯；3、熟悉ZYNQ平台开发流...,Boss直聘,,,,,,,,,
java全栈工程师,四川汉盛源科技有限公司,9001,11000,成都,锦江,成龙路,本科,3-5年,20-99人,民营,全职,2025-06-27 09:47:17,1.具有扎实的Java基础，理解IO、多线程，常用数据结构、算法、设计模式2.熟悉主流开源框架技术,Boss直聘,,,,,,,,,
java后端工程师,成都天星数字科技有限公司,11001,15000,成都,双流,正兴,本科,5-10年,20-99人,国企,全职,2025-06-27 00:00:02,岗位职责：1. 负责区域教育服务平台后端的设计和开发工作，根据业务需求与前端协作开发，并实现各产品功能；2. 参与系统的架构设计、系统分析与功能设计工作；3. 推动开发技术和规范及标准流程的持续优化与标准化；4. 负责开发/测试环境维护；5. 负责生产环境的稳定性保障及故障应急响应。任职要求：1. 本科及以上学历，计算机相关专业；2. 5年以上Java后端开发经验，有教育平台系统或大型系统架构设计...,Boss直聘,,,,,,,,,
嵌入式软件开发工程师,成都优数科技有限公司,7001,12000,成都,金牛,金泉,学历不限,3-5年,20人以下,民营,全职,2025-06-26 20:26:23,岗位内容： 1. 设计和开发嵌入式（基于arm，zynq，单片机、飞腾平台）的linux软件；2.开发QT应用软件界面（基于Windows、linux、麒麟、欧拉操作系统）；3. 配合相关调试；4. 编写软件文档。任职要求： 1. 熟悉zynq，zynq+开发流程，熟悉linux嵌入式开发；2. 熟悉pcie dma，网络接口开发流程；3. 熟悉qt开发；4.会简单的fpga开发；5.熟悉通信原理...,Boss直聘,,,,,,,,,
嵌入式软件开发工程师,成都麟通科技有限公司,15001,20000,成都,青羊,文家,本科,3-5年,20-99人,民营,全职,2025-06-26 17:11:03,岗位职责： 1.负责基础ARCH移植（MMU、中断异常、多核等）、设备驱动开发移植 ；2.负责背景型号嵌入式应用程序开发、维护。任职要求：1.本科及以上学历，具备嵌入式系统以及驱动开发经验，精通C编程 ；2.熟悉PPC、ARM、MIPS、X86等体系架构，有一种或多种平台的开发、调试经验；3.熟悉常见的设备驱动（NOR FLASH，NAND FLASH，I2C SPI，DMA，网卡等）开发 ；4....,Boss直聘,,,,,,,,,
【软件开发】高级研发工程师,成都贝尔通讯实业有限公司,15001,20000,成都,青羊,,本科,5-10年,100-299人,其它,全职,2025-06-26 16:32:19,岗位职责：1.深入理解业务需求，参与需求分析与讨论，从技术角度提供可行性建议，优化产品功能设计，确保技术实现与业务目标的一致性。2.承担关键模块的核心代码编写工作，遵循编码规范，确保代码的可读性、可维护性和高效性。3.作为技术骨干，为团队成员提供技术指导和培训，帮助他们提升技术水平，解决开发过程中遇到的技术难题。4.参与公司内部的技术创新项目，探索新技术的应用场景和解决方案，推动公司技术的持续进步...,Boss直聘,,,,,,,,,
java测试工程师,软通动力信息技术(集团)股份有限公司,7001,11000,成都,双流,华阳,本科,1-3年,10000人以上,民营,全职,2025-06-26 16:25:47,岗位职责:1. 负责Java应用的测试工作，确保软件质量和性能符合标准。2. 参与测试计划的制定和执行，包括功能测试、性能测试和安全测试。3. 与开发团队合作，确保软件开发过程中的问题能够及时发现并解决。4. 使用自动化测试工具和方法，提高测试效率和准确性。5. 报告测试结果，并提出改进建议。任职要求：1. 熟练掌握Java编程语言，具备良好的代码编写能力。2. 能够熟练使用Java相关的测试框架...,Boss直聘,,,,,,,,,
Java（物联网，现场面试）,成都迈思信息技术有限公司,9001,10000,成都,武侯,肖家河,大专,3-5年,1000-9999人,民营,全职,2025-06-26 14:47:34,工作内容 1．物联网协议开发与维护(1)熟悉MQTT、CoAP、HTTP/HTTPS等物联网通信协议，能够进行协议适配和优化。(2)负责设备接入、数据采集及云端通信的协议对接与调试。2．Linux系统运维与管理(1)熟练使用Linux（如Ubuntu/CentOS）进行系统部署、配置、监控及故障排查。(2)掌握Shell/Python脚本编写，实现自动化运维任务。3．网络安全方面(1)网络安全实战...,Boss直聘,,,,,,,,,
高级java工程师,成都思必得信息技术有限公司,15001,18000,成都,武侯,望江路,本科,5-10年,100-299人,民营,全职,2025-06-26 13:54:29,岗位职责：1. 高校资产及采购领域业务管理信息系统系统的架构设计、基础技术选型和核心业务功能模块开发；2. 负责公司基础业务系统的整体架构设计与优化，维护现有系统架构；制定代码规范和质量标准；推动和完善代码审查机制；提升团队研发效率与质量。3. 负责系统级产品性能优化，解决系统性能瓶颈问题；执行JVM调优、数据结构设计及SQL优化、代码重构及其他复杂系统性技术问题。4. 推动代码质量提升和规范落地...,Boss直聘,,,,,,,,,
java后端工程师,北京才鼎通科技有限公司,9001,13000,成都,武侯,石羊,大专,3-5年,100-299人,民营,全职,2025-06-26 10:05:12,工作职责：1、编写代码，实现软件模块的功能，并遵循编码规范和最佳实践。 2、与需求顾问、测试工程师、前端工程师等团队成员紧密合作，确保项目的顺利进行。 3、编写软件设计文档、技术文档和用户手册，确保文档清晰、准确、易于理解。 4、参与项目需求分析、技术评审和代码审查，任职资格：1、计算机科学与技术、软件工程或相关专业，大专及以上学历。2、3年以上开发经验，熟悉软件开发流程。 3、熟练掌握Java和...,Boss直聘,,,,,,,,,
Java高级工程师（自研智慧校园）,四川幻立方科技有限责任公司,16001,24000,成都,武侯,机投桥,本科,5-10年,20-99人,民营,全职,2025-06-26 09:51:25,自研产品岗位。岗位职责描述：1.根据需求，独立完成模块的设计，接口开发，文档注释，单元测试，持续集成工作;2.有良好的编码习惯，注释规范，有良好自主学习的能力;3.能够承受一定工作压力，在规定的时间内高效完成任务，独立分析需求和开发模块代码并交付，解决项目关键性问题;4.善于沟通，责任心强，具备良好的团队合作精神;职业要求： 1.计算机相关专业统招本科以上学历; 2.至少3年以上Java开发经验；...,Boss直聘,,,,,,,,,
对日软件开发工程师（成都）,北京智明创发软件有限公司,10001,15000,成都,锦江,春熙路,本科,5-10年,500-999人,外商独资,全职,2025-06-26 00:10:03,职位描述 岗位名称：上流SE 人员要求： 1、本科以上计算机相关专业 2、对日软件开发经验5年以上 3、日语二级以上 技能要求： 1、熟练掌握java、cobol等开发语言其中一种， 具备程序设计和编码经验,Boss直聘,,,,,,,,,
后端开发工程师,成都垣景科技有限公司,10001,15000,成都,青羊,西御河,本科,5-10年,20-99人,民营,全职,2025-06-26 00:09:22,职位描述：负责业务系统及管理工具的环境搭建、后端开发、接口联调、迭代优化；负责系统的部署安装、机房配置、资源管理及用户培训；负责运维系统的漏洞扫描、安全检查、问题整改、版本更新，确保系统高并发、稳定运行；参与需求评审，确认并不断优化、迭代技术路线，并形成配套文档资料；参与解决方案、技术方案、汇报材料、验收材料等相关资料的编写；参与代码评审、性能调优及技术攻坚任务。硬性要求：统招本科及以上学历，计算...,Boss直聘,,,,,,,,,
java工程师,成都杰瑞达科技有限公司,8001,12000,成都,武侯,机投桥,本科,3-5年,20-99人,民营,全职,2025-06-26 00:00:01,岗位职责： 1.负责完成开发经理指定得项目功能开发 2.配合开发经理完成项目概要涉及与详细涉及 3.能够独立完成项目模块功能开发 4.负责项目/产品线上问题修改与BUG修复 任职要求： 1.3年JAVA开发经验 2.统招本科学历，3年以上经验，英语4级 3.java基础良好，熟悉常用数据结构 4.熟悉spring、springboot、springCloud、nacos、mysql、redis、r...,Boss直聘,,,,,,,,,
对日软件开发PG（应届毕业生）,北京智明创发软件有限公司,6001,7000,成都,锦江,春熙路,本科,经验不限,500-999人,外商独资,全职,2025-06-26 00:19:42,任职条件：1、 教育背景：本科，计算机相关专业或 日语专业。 2、 知识/技能：有比较扎实的计算机专业基础知识，有至少一门计算机语言基础（c++，java，vb，python等等），对数据结构等有一定理解；熟悉HTML、CSS、JS等语言，熟悉常用sql语句；（日语专业无计算机要求）3、 素质要求：具备良好的学习能力,Boss直聘,,,,,,,,,
Java后端（1-2个月）,成都迈思信息技术有限公司,9001,11000,成都,武侯,桂溪,大专,5-10年,1000-9999人,民营,全职,2025-06-25 16:21:39,岗位职责:1. 负责Java相关项目的开发与维护工作2. 参与系统设计，确保代码质量和系统稳定性3. 与团队合作，完成项目需求分析及模块划分任职要求：1. 具备良好的Java编程能力，能够独立完成任务2. 具有团队合作精神，能够与团队成员有效沟通3. 对新技术有较快的学习能力，能够适应项目需求变化可能会安排重庆出差几天,Boss直聘,,,,,,,,,
中高级java工程师,中电金信软件有限公司,11001,20000,成都,武侯,桂溪,本科,5-10年,10000人以上,国企,全职,2025-06-25 16:06:41,1、负责企业级Java应用系统的设计、开发与优化，主导核心模块实现；2、承担复杂业务逻辑与技术难题攻关，推动高并发、分布式系统落地；3、主导技术方案评审与架构设计，制定统一编码规范与开发流程；4、推动团队技术能力提升，指导初中级工程师完成技术任务；5、负责项目模块的设计与开发。 任职要求:1、统招本科及以上学历，计算机相关专业优先；2、3-10年Java全栈开发经验，具备大型分布式系统实战经历；3...,Boss直聘,,,,,,,,,
